SENSOR,SERVO,RELAY1,RELAY2,RELAY3,RELAY4,RELAY5,RELAY6
70,25,0,0,1,1,0,0
72.5,27.5,0,0,1,0,0,1
75,22.5,0,0,1,0,0,1
77.5,25,0,0,1,0,0,1
80,27.5,0,0,1,0,0,1
82.5,30,0,0,1,0,0,1
85,30,0,0,1,0,0,1
87.5,30,0,0,1,0,0,1
90,37.5,0,0,0,0,0,1
92.5,37.5,0,0,0,0,0,1
95,27.5,0,0,1,0,0,0
97.5,30,0,0,1,0,0,0
100,32.5,0,0,1,0,0,0
102.5,37.5,0,0,0,0,0,0
105,40,0,0,0,0,0,0
107.5,40,0,0,0,0,0,0
110,42.5,0,0,0,0,0,0
112.5,42.5,0,0,0,0,0,0
115,45,0,0,0,0,0,0
117.5,45,0,0,0,0,0,0
120,47.5,0,0,0,0,0,0
122.5,47.5,0,0,0,0,0,0
125,50,0,0,0,0,0,0
127.5,50,0,0,0,0,0,0
130,0,1,0,0,0,0,0
132.5,0,1,0,0,0,0,0
135,0,1,0,0,0,0,0
137.5,0,1,0,0,0,0,0
140,0,1,0,0,0,0,0
142.5,2.5,1,0,0,0,0,0
145,5,1,0,0,0,0,0
147.5,7.5,1,0,0,0,0,0
150,10,1,0,0,0,0,0
152.5,12.5,1,0,0,0,0,0
155,17.5,0,1,0,0,0,0
157.5,22.5,0,0,1,0,0,0
160,22.5,0,0,1,0,0,0
162.5,22.5,0,0,1,0,0,0
165,25,0,0,1,0,0,0
165,1,25,0,0,1,0,0
